Time,Vpv1,Vpv2,Vpv3,Vpv4,Vpv5,Vpv6,Vpv7,Ipv1,Ipv2,Ipv3,Ipv4,Ipv5,Ipv6,Ipv7,INVTemp,Ppv,Pac
2021-10-13 05:49:35,749.7,761.2,454.8,237.9,694.4,223.7,228.8,0,0,0,0,0,0,0,23.5,49.2,48.5
2021-10-13 05:54:36,678.3,751.8,682,624.5,715.3,680.5,625.6,0,0,0,0,0,0,0,25.5,157.3,155
2021-10-13 05:59:36,667,604.2,677.6,660.6,671.9,704.9,563.3,0.1,0.1,0,0,0,0,0.1,27.3,424,417.7
2021-10-13 06:04:36,620.4,634,720.1,692.5,714.1,616.8,569.5,0.2,0.2,0.1,0.1,0.1,0.1,0.2,28.8,766,754.6
2021-10-13 06:09:37,669.2,693.5,736.5,721.3,729.1,653.1,587.9,0.3,0.3,0.2,0.2,0.2,0.2,0.3,30,1175.2,1157.6
2021-10-13 06:14:37,672.4,700.8,787.5,770.3,738,696.3,638.6,0.5,0.4,0.3,0.3,0.3,0.3,0.4,31.1,1890.3,1862
2021-10-13 06:19:37,690.4,708.8,807.1,791.7,783.2,714.2,720.6,0.6,0.6,0.5,0.5,0.4,0.5,0.5,31.3,2669.3,2623
2021-10-13 06:24:38,753,767.1,819.8,811.3,819.1,715.3,715.8,0.8,0.8,0.6,0.6,0.6,0.7,0.7,31.7,3687.6,3573.8
2021-10-13 06:29:38,771.5,773.4,836.6,825.4,825.2,732,725.1,1,1,0.8,0.9,0.8,0.7,1,32,4854.5,4694.6
2021-10-13 06:34:39,774.4,763.1,837.1,825.3,830.9,733.7,727.5,1.3,1.3,1.1,1.1,1,0.9,1.2,32.3,6191.5,5944
2021-10-13 06:39:39,796.2,772.9,837.5,827.9,842,741.7,712.5,1.5,1.6,1.4,1.4,1.2,0.9,1.6,32.9,7580.3,7369.2
2021-10-13 06:44:39,797.6,785.7,840.1,835.3,828.9,715.3,729,1.9,1.9,1.7,1.8,1.7,1.1,1.9,33.5,9520.8,9142.6
2021-10-13 06:49:40,813.3,828,839.3,833.7,840.1,655.1,733,2.2,2.2,2.1,2.2,2.1,2.2,2.3,34,12098.7,11637.2
2021-10-13 06:54:40,851,829.1,841.4,843.7,845.3,664.1,736,2.5,2.6,2.5,2.5,2.5,2.7,2.7,34.7,14389.2,13896.1
2021-10-13 06:59:40,838.6,842.2,839.3,828.2,841.3,728.3,754,3,3,2.9,3,2.9,3.1,3.1,35.3,16995.7,16373.1
2021-10-13 07:04:41,838,838.1,839.3,830.8,850.7,735.5,755.5,3.4,3.5,3.3,3.4,3.3,3.6,3.6,36.1,19551.7,18726.4
2021-10-13 07:09:41,842.3,837.4,844.1,830.5,841.9,755.8,757.3,3.9,3.9,3.8,3.9,3.8,4,4.1,37,22324.4,21311.3
2021-10-13 07:14:41,842.7,835.4,846,824.7,840.3,751.6,757.3,4.3,4.4,4.2,4.4,4.3,4.5,4.5,37.7,24884.3,23852.1
2021-10-13 07:19:42,839.6,833.8,835.8,836.5,842.5,760.5,752.4,4.8,4.9,4.8,4.8,4.8,4.9,5,38.4,27675,26475.6
2021-10-13 07:24:42,844,831.1,838.7,822.8,851.4,757.7,753.2,5.2,5.4,5.2,5.3,5.1,5.4,5.5,38.9,30174.9,28946.2
2021-10-13 07:29:42,842,831,836.2,827.1,842.3,761,760.4,5.7,5.9,5.7,5.8,5.7,5.9,5.9,39.4,33043,31547.5
2021-10-13 07:34:43,841.4,842.2,835.9,832.3,842.4,759.6,752.3,6.2,6.3,6.2,6.2,6.2,6.4,6.5,40.1,35839.2,34278.2
